,ASV,#lca rank,#lca taxon,#kingdom,#phylum,#class,#order,#family,#genus,#species,#method,OBIS-family,OBIS-genus,OBIS-FBname,OBIS-DemersPelag,OBIS-AnaCat,OBIS-Importance,Decision,Note
122,ASV133,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
123,ASV134,species,Phycis chesteri,Eukaryota,Chordata,Actinopteri,Gadiformes,Phycidae,Phycis,Phycis chesteri,best hit,Phycidae,Phycis,Longfin hake,benthopelagic,non-migratory,of potential interest,,
124,ASV135,species,Gasterosteus aculeatus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,best hit,Gasterosteidae,Gasterosteus,Three-spined stickleback,benthopelagic,anadromous,minor commercial,,
125,ASV136,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
126,ASV137,species,Ammodytes dubius,Eukaryota,Chordata,Actinopteri,Uranoscopiformes,Ammodytidae,Ammodytes,Ammodytes dubius,best hit,Ammodytidae,Ammodytes,Northern sand lance,demersal,NA,of potential interest,,
127,ASV138,species,Salmo salar,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo salar,best hit,Salmonidae,Salmo,Atlantic salmon,benthopelagic,anadromous,highly commercial,,
128,ASV139,species,Hippoglossoides platessoides,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides platessoides,best hit,Pleuronectidae,Hippoglossoides,American plaice,demersal,oceanodromous,highly commercial,,
129,ASV141,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
130,ASV144,species,Homo sapiens,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,best hit,NA,NA,NA,NA,NA,NA,,
131,ASV145,species,Sus scrofa,Eukaryota,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,best hit,NA,NA,NA,NA,NA,NA,,
132,ASV146,species,Anguilla rostrata,Eukaryota,Chordata,Actinopteri,Anguilliformes,Anguillidae,Anguilla,Anguilla rostrata,best hit,Anguillidae,Anguilla,American eel,demersal,catadromous,commercial,,
133,ASV147,species,Homo sapiens,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,best hit,NA,NA,NA,NA,NA,NA,,
134,ASV148,species,Balaenoptera musculus,Eukaryota,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera musculus,best hit,Balaenopteridae,Balaenoptera,NA,NA,NA,NA,,
135,ASV149,species,Menidia menidia,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Menidia,Menidia menidia,best hit,Atherinopsidae,Menidia,Atlantic silverside,pelagic-neritic,oceanodromous,minor commercial,,
136,ASV150,species,Salmo salar,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo salar,best hit,Salmonidae,Salmo,Atlantic salmon,benthopelagic,anadromous,highly commercial,,
137,ASV153,species,Chrosomus neogaeus,Eukaryota,Chordata,Actinopteri,Cypriniformes,Leuciscidae,Chrosomus,Chrosomus neogaeus,best hit,NA,NA,NA,NA,NA,NA,,"Finescale dace - uncertaain, as mostly found in american inland freshwaters. "
138,ASV154,species,Hippoglossina oblonga,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Hippoglossina,Hippoglossina oblonga,best hit,Paralichthyidae,Hippoglossina,American fourspot flounder,demersal,NA,commercial,,
139,ASV156,species,Gymnocanthus tricuspis,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Gymnocanthus,Gymnocanthus tricuspis,best hit,Cottidae,Gymnocanthus,Arctic staghorn sculpin,demersal,NA,NA,,
140,ASV157,species,Tautogolabrus adspersus,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Tautogolabrus,Tautogolabrus adspersus,best hit,Labridae,Tautogolabrus,Cunner,reef-associated,NA,commercial,,
141,ASV158,species,Hippoglossina oblonga,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Hippoglossina,Hippoglossina oblonga,best hit,Paralichthyidae,Hippoglossina,American fourspot flounder,demersal,NA,commercial,,
142,ASV159,species,Salvelinus fontinalis x Salvelinus malma,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,Salvelinus fontinalis x Salvelinus malma,best hit,NA,NA,NA,NA,NA,NA,Salvelinus fontinalis,"malma is Pacific, Brook trout more plausible"
143,ASV162,species,Xiphister atropurpureus,Eukaryota,Chordata,Actinopteri,Perciformes,Stichaeidae,Xiphister,Xiphister atropurpureus,best hit,NA,NA,NA,NA,NA,NA,,Black prickleback is a Pacific species
144,ASV163,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
145,ASV164,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
146,ASV165,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
147,ASV166,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,lca,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
148,ASV168,species,Merluccius bilinearis,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius bilinearis,best hit,Merlucciidae,Merluccius,Silver hake,demersal,oceanodromous,highly commercial,,
149,ASV169,species,Anguilla rostrata,Eukaryota,Chordata,Actinopteri,Anguilliformes,Anguillidae,Anguilla,Anguilla rostrata,best hit,Anguillidae,Anguilla,American eel,demersal,catadromous,commercial,,
150,ASV170,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
151,ASV171,species,Homo sapiens,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,best hit,NA,NA,NA,NA,NA,NA,,
152,ASV172,species,Gadus morhua,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,Gadus morhua,best hit,Gadidae,Gadus,Atlantic cod,benthopelagic,oceanodromous,highly commercial,,
153,ASV173,species,Merluccius bilinearis,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius bilinearis,best hit,Merlucciidae,Merluccius,Silver hake,demersal,oceanodromous,highly commercial,,
154,ASV174,species,Merluccius bilinearis,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius bilinearis,best hit,Merlucciidae,Merluccius,Silver hake,demersal,oceanodromous,highly commercial,,
155,ASV175,species,Sus scrofa,Eukaryota,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,best hit,NA,NA,NA,NA,NA,NA,,
156,ASV176,species,Homo sapiens,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,best hit,NA,NA,NA,NA,NA,NA,,
157,ASV177,species,Merluccius bilinearis,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius bilinearis,best hit,Merlucciidae,Merluccius,Silver hake,demersal,oceanodromous,highly commercial,,
158,ASV178,species,Gasterosteus aculeatus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,best hit,Gasterosteidae,Gasterosteus,Three-spined stickleback,benthopelagic,anadromous,minor commercial,,
159,ASV180,species,Salvelinus fontinalis x Salvelinus malma,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,Salvelinus fontinalis x Salvelinus malma,best hit,NA,NA,NA,NA,NA,NA,Salvelinus fontinalis,"malma is Pacific, Brook trout more plausible"
160,ASV181,species,Gasterosteus wheatlandi,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus wheatlandi,best hit,Gasterosteidae,Gasterosteus,Blackspotted stickleback,benthopelagic,NA,NA,,
161,ASV183,species,Myoxocephalus octodecemspinosus,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Myoxocephalus,Myoxocephalus octodecemspinosus,best hit,Cottidae,Myoxocephalus,Longhorn sculpin,demersal,NA,NA,,
162,ASV184,species,Ammodytes marinus,Eukaryota,Chordata,Actinopteri,Uranoscopiformes,Ammodytidae,Ammodytes,Ammodytes marinus,best hit,Ammodytidae,Ammodytes,Lesser sand-eel,benthopelagic,NA,commercial,,
163,ASV185,species,Gasterosteus aculeatus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,best hit,Gasterosteidae,Gasterosteus,Three-spined stickleback,benthopelagic,anadromous,minor commercial,,
164,ASV187,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
165,ASV188,species,Gasterosteus aculeatus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,best hit,Gasterosteidae,Gasterosteus,Three-spined stickleback,benthopelagic,anadromous,minor commercial,,
166,ASV189,species,Ammodytes dubius,Eukaryota,Chordata,Actinopteri,Uranoscopiformes,Ammodytidae,Ammodytes,Ammodytes dubius,best hit,Ammodytidae,Ammodytes,Northern sand lance,demersal,NA,of potential interest,,
167,ASV190,species,Osmerus mordax,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,Osmerus,Osmerus mordax,best hit,Osmeridae,Osmerus,Rainbow smelt,pelagic-oceanic,anadromous,commercial,,
168,ASV191,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
169,ASV193,species,Sus scrofa,Eukaryota,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,best hit,NA,NA,NA,NA,NA,NA,,
170,ASV194,species,Gasterosteus aculeatus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,best hit,Gasterosteidae,Gasterosteus,Three-spined stickleback,benthopelagic,anadromous,minor commercial,,
171,ASV195,species,Osmerus mordax,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,Osmerus,Osmerus mordax,best hit,Osmeridae,Osmerus,Rainbow smelt,pelagic-oceanic,anadromous,commercial,,
172,ASV196,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,lca,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
173,ASV197,species,Osmerus mordax,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,Osmerus,Osmerus mordax,best hit,Osmeridae,Osmerus,Rainbow smelt,pelagic-oceanic,anadromous,commercial,,
174,ASV199,species,Merluccius bilinearis,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius bilinearis,best hit,Merlucciidae,Merluccius,Silver hake,demersal,oceanodromous,highly commercial,,
175,ASV200,species,Tautogolabrus adspersus,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Tautogolabrus,Tautogolabrus adspersus,best hit,Labridae,Tautogolabrus,Cunner,reef-associated,NA,commercial,,
176,ASV201,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
177,ASV202,species,Ammodytes dubius,Eukaryota,Chordata,Actinopteri,Uranoscopiformes,Ammodytidae,Ammodytes,Ammodytes dubius,best hit,Ammodytidae,Ammodytes,Northern sand lance,demersal,NA,of potential interest,,
178,ASV205,species,Merluccius bilinearis,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius bilinearis,best hit,Merlucciidae,Merluccius,Silver hake,demersal,oceanodromous,highly commercial,,
179,ASV206,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,lca,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
180,ASV207,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,NA,NA,NA,NA,NA,NA,,
181,ASV208,species,Zoarces americanus,Eukaryota,Chordata,Actinopteri,Perciformes,Zoarcidae,Zoarces,Zoarces americanus,best hit,Zoarcidae,Zoarces,Ocean pout,demersal,oceanodromous,commercial,,
182,ASV210,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
183,ASV212,species,Merluccius albidus,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius albidus,best hit,Merlucciidae,Merluccius,Offshore silver hake,bathydemersal,non-migratory,minor commercial,,
184,ASV213,species,Pholis gunnellus,Eukaryota,Chordata,Actinopteri,Perciformes,Pholidae,Pholis,Pholis gunnellus,best hit,Pholidae,Pholis,Rock gunnel,demersal,non-migratory,of no interest,,
185,ASV214,species,Merluccius bilinearis,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius bilinearis,best hit,Merlucciidae,Merluccius,Silver hake,demersal,oceanodromous,highly commercial,,
186,ASV215,species,Osmerus mordax,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,Osmerus,Osmerus mordax,best hit,Osmeridae,Osmerus,Rainbow smelt,pelagic-oceanic,anadromous,commercial,,
187,ASV216,species,Ammodytes dubius,Eukaryota,Chordata,Actinopteri,Uranoscopiformes,Ammodytidae,Ammodytes,Ammodytes dubius,best hit,Ammodytidae,Ammodytes,Northern sand lance,demersal,NA,of potential interest,,
188,ASV217,species,Merluccius bilinearis,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius bilinearis,best hit,Merlucciidae,Merluccius,Silver hake,demersal,oceanodromous,highly commercial,,
189,ASV219,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
190,ASV221,species,Salmo salar,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo salar,best hit,Salmonidae,Salmo,Atlantic salmon,benthopelagic,anadromous,highly commercial,,
191,ASV227,species,Osmerus mordax,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,Osmerus,Osmerus mordax,best hit,Osmeridae,Osmerus,Rainbow smelt,pelagic-oceanic,anadromous,commercial,,
192,ASV228,species,Auxis rochei,Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Auxis,Auxis rochei,best hit,Scombridae,Auxis,Bullet tuna,pelagic-neritic,oceanodromous,highly commercial,,
193,ASV229,species,Gasterosteus aculeatus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,best hit,Gasterosteidae,Gasterosteus,Three-spined stickleback,benthopelagic,anadromous,minor commercial,,
194,ASV230,species,Urophycis chuss,Eukaryota,Chordata,Actinopteri,Gadiformes,Phycidae,Urophycis,Urophycis chuss,best hit,Phycidae,Urophycis,Red hake,demersal,oceanodromous,commercial,,
195,ASV231,species,Salvelinus fontinalis x Salvelinus malma,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,Salvelinus fontinalis x Salvelinus malma,best hit,NA,NA,NA,NA,NA,NA,Salvelinus fontinalis,"malma is Pacific, Brook trout more plausible"
196,ASV232,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
197,ASV233,species,Salmo salar,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo salar,best hit,Salmonidae,Salmo,Atlantic salmon,benthopelagic,anadromous,highly commercial,,
198,ASV234,species,Ceratoscopelus maderensis,Eukaryota,Chordata,Actinopteri,Myctophiformes,Myctophidae,Ceratoscopelus,Ceratoscopelus maderensis,best hit,Myctophidae,Ceratoscopelus,Madeira lantern fish,bathypelagic,oceanodromous,NA,,
199,ASV236,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
200,ASV237,species,Salmo salar,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo salar,lca,Salmonidae,Salmo,Atlantic salmon,benthopelagic,anadromous,highly commercial,,
201,ASV238,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
202,ASV240,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
203,ASV241,species,Felis catus,Eukaryota,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,best hit,NA,NA,NA,NA,NA,NA,,
204,ASV243,species,Gasterosteus aculeatus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,best hit,Gasterosteidae,Gasterosteus,Three-spined stickleback,benthopelagic,anadromous,minor commercial,,
205,ASV245,species,Pholis gunnellus,Eukaryota,Chordata,Actinopteri,Perciformes,Pholidae,Pholis,Pholis gunnellus,best hit,Pholidae,Pholis,Rock gunnel,demersal,non-migratory,of no interest,,
206,ASV247,species,Salmo trutta,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo trutta,best hit,Salmonidae,Salmo,Sea trout,pelagic-neritic,anadromous,commercial,,
207,ASV248,species,Urophycis chuss,Eukaryota,Chordata,Actinopteri,Gadiformes,Phycidae,Urophycis,Urophycis chuss,best hit,Phycidae,Urophycis,Red hake,demersal,oceanodromous,commercial,,
208,ASV249,species,Salvelinus fontinalis x Salvelinus malma,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,Salvelinus fontinalis x Salvelinus malma,best hit,NA,NA,NA,NA,NA,NA,Salvelinus fontinalis,"malma is Pacific, Brook trout more plausible"
209,ASV250,species,Urophycis chuss,Eukaryota,Chordata,Actinopteri,Gadiformes,Phycidae,Urophycis,Urophycis chuss,best hit,Phycidae,Urophycis,Red hake,demersal,oceanodromous,commercial,,
210,ASV251,species,Anguilla rostrata,Eukaryota,Chordata,Actinopteri,Anguilliformes,Anguillidae,Anguilla,Anguilla rostrata,best hit,Anguillidae,Anguilla,American eel,demersal,catadromous,commercial,,
211,ASV254,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
212,ASV256,species,Osmerus mordax,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,Osmerus,Osmerus mordax,best hit,Osmeridae,Osmerus,Rainbow smelt,pelagic-oceanic,anadromous,commercial,,
213,ASV257,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
214,ASV258,species,Urophycis chuss,Eukaryota,Chordata,Actinopteri,Gadiformes,Phycidae,Urophycis,Urophycis chuss,lca,Phycidae,Urophycis,Red hake,demersal,oceanodromous,commercial,,
215,ASV261,species,Ceratoscopelus maderensis,Eukaryota,Chordata,Actinopteri,Myctophiformes,Myctophidae,Ceratoscopelus,Ceratoscopelus maderensis,best hit,Myctophidae,Ceratoscopelus,Madeira lantern fish,bathypelagic,oceanodromous,NA,,
216,ASV262,species,Stichaeus punctatus,Eukaryota,Chordata,Actinopteri,Perciformes,Stichaeidae,Stichaeus,Stichaeus punctatus,best hit,Stichaeidae,Stichaeus,Arctic shanny,demersal,NA,NA,,
217,ASV264,species,Pungitius pungitius,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Pungitius,Pungitius pungitius,best hit,Gasterosteidae,Pungitius,Ninespine stickleback,benthopelagic,anadromous,subsistence fisheries,,
218,ASV268,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
219,ASV269,species,Catostomus commersonii,Eukaryota,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus,Catostomus commersonii,best hit,Catostomidae,Catostomus,White sucker,demersal,NA,minor commercial,,
220,ASV270,species,Salmo salar,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo salar,best hit,Salmonidae,Salmo,Atlantic salmon,benthopelagic,anadromous,highly commercial,,
221,ASV272,species,Gasterosteus aculeatus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,lca,Gasterosteidae,Gasterosteus,Three-spined stickleback,benthopelagic,anadromous,minor commercial,,
222,ASV273,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
223,ASV277,species,Gasterosteus aculeatus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,best hit,Gasterosteidae,Gasterosteus,Three-spined stickleback,benthopelagic,anadromous,minor commercial,,
224,ASV278,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
225,ASV279,species,Merluccius bilinearis,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius bilinearis,best hit,Merlucciidae,Merluccius,Silver hake,demersal,oceanodromous,highly commercial,,
226,ASV283,species,Tautogolabrus adspersus,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Tautogolabrus,Tautogolabrus adspersus,best hit,Labridae,Tautogolabrus,Cunner,reef-associated,NA,commercial,,
227,ASV284,species,Scomber scombrus,Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Scomber,Scomber scombrus,best hit,Scombridae,Scomber,Atlantic mackerel,pelagic-neritic,oceanodromous,highly commercial,,
228,ASV289,species,Ammodytes dubius,Eukaryota,Chordata,Actinopteri,Uranoscopiformes,Ammodytidae,Ammodytes,Ammodytes dubius,best hit,Ammodytidae,Ammodytes,Northern sand lance,demersal,NA,of potential interest,,
229,ASV291,species,Pholis gunnellus,Eukaryota,Chordata,Actinopteri,Perciformes,Pholidae,Pholis,Pholis gunnellus,best hit,Pholidae,Pholis,Rock gunnel,demersal,non-migratory,of no interest,,
230,ASV292,species,Oncorhynchus mykiss,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,best hit,Salmonidae,Oncorhynchus,Rainbow trout,benthopelagic,anadromous,highly commercial,,
231,ASV293,species,Gadus morhua,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,Gadus morhua,best hit,Gadidae,Gadus,Atlantic cod,benthopelagic,oceanodromous,highly commercial,,
232,ASV295,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
233,ASV296,species,Gasterosteus aculeatus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,best hit,Gasterosteidae,Gasterosteus,Three-spined stickleback,benthopelagic,anadromous,minor commercial,,
234,ASV298,species,Merluccius bilinearis,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius bilinearis,best hit,Merlucciidae,Merluccius,Silver hake,demersal,oceanodromous,highly commercial,,
235,ASV299,species,Salvelinus fontinalis x Salvelinus malma,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,Salvelinus fontinalis x Salvelinus malma,best hit,NA,NA,NA,NA,NA,NA,Salvelinus fontinalis,"malma is Pacific, Brook trout more plausible"
236,ASV301,species,Mallotus villosus,Eukaryota,Chordata,Actinopteri,Osmeriformes,Salangidae,Mallotus,Mallotus villosus,best hit,Osmeridae,Mallotus,Capelin,pelagic-oceanic,anadromous,highly commercial,,
237,ASV302,species,Microgadus tomcod,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Microgadus,Microgadus tomcod,best hit,Gadidae,Microgadus,Atlantic tomcod,demersal,anadromous,minor commercial,,
238,ASV303,species,Tautogolabrus adspersus,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Tautogolabrus,Tautogolabrus adspersus,best hit,Labridae,Tautogolabrus,Cunner,reef-associated,NA,commercial,,
239,ASV306,species,Pholis gunnellus,Eukaryota,Chordata,Actinopteri,Perciformes,Pholidae,Pholis,Pholis gunnellus,best hit,Pholidae,Pholis,Rock gunnel,demersal,non-migratory,of no interest,,
240,ASV308,species,Pholis gunnellus,Eukaryota,Chordata,Actinopteri,Perciformes,Pholidae,Pholis,Pholis gunnellus,best hit,Pholidae,Pholis,Rock gunnel,demersal,non-migratory,of no interest,,
241,ASV309,species,Fundulus heteroclitus,Eukaryota,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus heteroclitus,best hit,Fundulidae,Fundulus,Mummichog,benthopelagic,non-migratory,commercial,,
242,ASV317,species,Microgadus tomcod,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Microgadus,Microgadus tomcod,best hit,Gadidae,Microgadus,Atlantic tomcod,demersal,anadromous,minor commercial,,
243,ASV318,species,Ammodytes dubius,Eukaryota,Chordata,Actinopteri,Uranoscopiformes,Ammodytidae,Ammodytes,Ammodytes dubius,best hit,Ammodytidae,Ammodytes,Northern sand lance,demersal,NA,of potential interest,,
244,ASV319,genus,Gadus,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,no identification,lca,NA,NA,NA,NA,NA,NA,,
